Game,Datetime,Market,Event/Person/Team,Odds,Update timestamp
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 1-5,6.8,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 1-5,4.5,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 6-10,8.8,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 6-10,3.6,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 11-15,16,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 11-15,6,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 16-20,30,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 16-20,7.2,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 21-25,70,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 21-25,11,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,MAHINDRA ENFORCERS by 26+,101,17/06/2022 14:48
Terrafirma Dyip vs Phoenix Fuel Masters,17/06/2022 15:00,Winning Margin - Match,Phoenix Fuel Masters by 26+,12,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,San Miguel Beermen -5.5,1.86,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Asian Handicap - Match,Magnolia Hotshots +5.5,1.99,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Over 181.5,1.88,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Over / Under - Match,Under 181.5,1.96,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Even,1.95,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Odd/Even Total Points - Match,Odd,1.94,17/06/2022 14:48
San Miguel Beermen vs Magnolia Hotshots,17/06/2022 18:00,Winning Margin - Match,SAN MIGUEL BEERMEN by 1-5,4.5,17/06/2022 14:48
